"Company Name","Address","City","State","Location ZIP Code","Phone","Fax Number Combined","Primary SIC Code","Primary SIC Description","Executive First Name","Executive Last Name","Executive Gender","Executive Title"
"Range","130 S 9th St","Worland","WY","82401","(307) 347-7000","Not Available","737415","Internet Service","Becky","Dooley","Female","Manager"
"Kreassive","14071 Stage Rd","Santa Fe Springs","CA","90670","(310) 997-2773","Not Available","737415","Internet Service","","","",""
"Sticker Al","1093 Reddington Dr","Aurora","IL","60502","(312) 203-7335","Not Available","737108","Computer-Software Developers","Ravi","Kaushik","Male","Manager"
"Prolifiq Software","70 W Hubbard St","Chicago","IL","60654","(312) 496-3553","Not Available","737206","Computer Software","","","",""
"Spectrum","","Marion","IN","46953","(317) 215-0657","Not Available","737415","Internet Service","","","",""
"Ihg Broadband Aggregation","125 Sheriff Rd","Melbourne","FL","32940","(321) 610-8686","Not Available","737415","Internet Service","","","",""
"Florida High Speed Internet","1910 US Highway 1","Rockledge","FL","32955","(321) 636-3985","Not Available","737415","Internet Service","","","",""
"S A Software","5872 Spring Oak Dr","Los Angeles","CA","90068","(323) 466-2009","Not Available","737206","Computer Software","","","",""
"Tengo Internet","10200 W Fishbowl Dr","Homosassa","FL","34448","(352) 419-4544","Not Available","737415","Internet Service","","","",""
"Tengo Internet","9267 US Highway 98","Dade City","FL","33525","(352) 437-5202","Not Available","737415","Internet Service","","","",""
"Tengo Internet","10721 US Highway 98","Dade City","FL","33525","(352) 437-5223","Not Available","737415","Internet Service","","","",""
"Tengo Internet Inc","237 S Rock Crusher Rd","Crystal River","FL","34429","(352) 794-6345","Not Available","737415","Internet Service","","","",""
"B To B Software Solutions LLC","2912 E Evergreen Blvd","Vancouver","WA","98661","(360) 597-4208","Not Available","737206","Computer Software","","","",""
"Software New Horizons","11615 NE 7th Cir","Vancouver","WA","98684","(360) 718-2516","Not Available","737206","Computer Software","","","",""
"Gulf Coast Wifi","100 E Hutchinson St # 240","Beeville","TX","78102","(361) 621-1535","Not Available","737415","Internet Service","Craig","Oliver","Male","Owner"
"Spectrum","3609 Cimarron Plz # 197","Hastings","NE","68901","(402) 251-5342","Not Available","737415","Internet Service","","","",""
"Sivashankari Shanmugam","11650 Vista Forest Dr","Alpharetta","GA","30005","(404) 416-4444","Not Available","737102","Computer Programming Services","Sivashankar","Shanmugam","","Owner"
"Naima Booth","19201 Sugarloaf Reserve Dr","Duluth","GA","30097","(404) 731-1621","Not Available","737102","Computer Programming Services","","","",""
"Smdotit LLC","660 Lakehill Way","Johns Creek","GA","30022","(404) 804-8013","Not Available","737102","Computer Programming Services","Marius","Smit","Male","Owner"
"Focal Software","","Oklahoma City","OK","73118","(405) 233-8457","Not Available","737206","Computer Software","","","",""
"Blueberry Mora Group LLC","100 Blue Heron Ln","Casselberry","FL","32707","(407) 536-1623","Not Available","737415","Internet Service","Johanna","Jomez","Female","Owner"
"Birdseed LLC","5703 Red Bug Lake Rd # 230","Winter Springs","FL","32708","(407) 545-2728","Not Available","737108","Computer-Software Developers","Andrew","Sheahan","Male","Owner"
"Rnp Software Solution LLC","1655 E Semoran Blvd # 5","Apopka","FL","32703","(407) 703-5691","Not Available","737206","Computer Software","","","",""
"Lotus Creative Crafts & More","105 Keystone Crest Ct","Sanford","FL","32771","(407) 810-7374","Not Available","737505","Online Services","Kiara","Turner","Female","Owner"
"Dolce Gaia LLC","5401 San Juan Blvd","Orlando","FL","32807","(407) 914-8392","Not Available","737505","Online Services","Adan","Ollantay","Male","Manager"
"Spectrum","475 Airport Blvd","Gilroy","CA","95020","(408) 213-6524","Not Available","737415","Internet Service","Josehua","Gill","Male","Manager"
"Pakka Soft LLC","2933 Rubino Cir","San Jose","CA","95125","(408) 506-9784","Not Available","737206","Computer Software","Jesse","Boley","Male","Manager"
"Pec Unlimited Solutions","4604 49th St N # 1256","St Petersburg","FL","33709","(727) 767-9708","Not Available","737505","Online Services","Phillip","Cooke","Male","Owner"
"Eachbase LLC","17346 Index St","Granada Hills","CA","91344","(818) 847-7331","Not Available","737108","Computer-Software Developers","Gevorg","Isagulyan","Male","Chief Executive Officer"
