"Company Name","Address","City","State","Location ZIP Code","Phone","Fax Number Combined","Primary SIC Code","Primary SIC Description","Executive First Name","Executive Last Name","Executive Gender","Executive Title"
"Spectrum","1314 Polaris Pkwy","Columbus","OH","43240","(614) 344-4159","Not Available","737415","Internet Service","","","",""
"Bailbond Software Solutions","4015 Aspen Grove Dr # 1018","Franklin","TN","37067","(615) 472-1949","Not Available","737206","Computer Software","","","",""
"Shark Byte Software Design","4640 Maceachen","Grand Haven","MI","49417","(616) 844-7014","Not Available","737102","Computer Programming Services","","","",""
"Gutenberg Technology Inc","1 Lincoln St","Boston","MA","02111","(617) 279-0140","Not Available","737206","Computer Software","Gjergj","Demiraj","Male","Chief Executive Officer"
"Spectrum","3910 Normal St","San Diego","CA","92103","(619) 228-9702","Not Available","737415","Internet Service","","","",""
"Next Level Internet","700 N Marshall Ave","El Cajon","CA","92020","(619) 401-3254","Not Available","737415","Internet Service","","","",""
"Next Level Internet","4990 Williams Ave","La Mesa","CA","91942","(619) 462-1351","Not Available","737415","Internet Service","","","",""
"Castar US","14530 Arrow Hwy","Baldwin Park","CA","91706","(626) 962-1260","Not Available","737505","Online Services","","","",""
"G 5 Enterprises","676 Foster Ave","Bartlett","IL","60103","(630) 216-9460","Not Available","737206","Computer Software","Tony","Grigonis","Male","Manager"
"Future Academy Inc","329 S Oyster Bay Rd","Plainview","NY","11803","(631) 532-8840","Not Available","737505","Online Services","Nicole","Battle","Female","Owner"
"Cticloud Hosting Inc","64a Bellows Terrace Rd","Hampton Bays","NY","11946","(631) 557-0500","Not Available","737206","Computer Software","Eric","Neyn","Male","President"
"Trekking Paradise LLC","10 Continental Dr","Centereach","NY","11720","(631) 560-5956","Not Available","737415","Internet Service","Bill","Fitz","Male","Owner"
"Centurylink","","Wright City","MO","63390","(636) 745-2842","Not Available","737415","Internet Service","","","",""
"Dezyns Inc","7525 153rd St","Flushing","NY","11367","(646) 339-4721","Not Available","737206","Computer Software","Imran","Anjum","Male","Manager"
"Zeet Inc","2200 Sacramento St","San Francisco","CA","94115","(650) 416-8117","Not Available","504509","Computer Software-Wholesale","John","Dallas","Male","Chief Executive Officer"
"Pec Unlimited Solutions","4604 49th St N # 1256","St Petersburg","FL","33709","(727) 767-9708","Not Available","737505","Online Services","Phillip","Cooke","Male","Owner"
"Eachbase LLC","17346 Index St","Granada Hills","CA","91344","(818) 847-7331","Not Available","737108","Computer-Software Developers","Gevorg","Isagulyan","Male","Chief Executive Officer"
